"id","title","source","jurisdiction","status","changes","last_seen","url"
"ca-recalls-pet/58171","K9 Natural Ltd recalls K9 Natural Frozen Chicken Feast Raw Pet Food 11lb bags","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/58171/"
"ca-recalls-pet/58383","Radagast Pet Food, Inc. recalls various Rad Cat Raw Diet Pet Food","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/58383/"
"ca-recalls-pet/61367","Carnivora Fresh Frozen Patties for Dogs and Cats recalled due to E.coli contamination","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/61367/"
"uk-fsa-pet-alerts/FSA-PRIN-55-2021-update-1","Monkfield Nutrition extends recall to all batches of frozen Feeder Mice products for feeding reptiles because of the presence of Salmonella","uk-fsa-pet-alerts","GB","listed","1","2026-09-07 08:43:18","https://pawmultiverse.com/r/gb/uk-fsa-pet-alerts/FSA-PRIN-55-2021-update-1/"
"uk-fsa-pet-alerts/FSA-PRIN-55-2021","Monkfield Nutrition recalls frozen Feeder Mice products for feeding reptiles because of the presence of Salmonella","uk-fsa-pet-alerts","GB","listed","1","2026-09-07 08:43:18","https://pawmultiverse.com/r/gb/uk-fsa-pet-alerts/FSA-PRIN-55-2021/"
"uk-fsa-pet-alerts/FSA-PRIN-17-2022","Republic of Munchery Ltd recalls pet feed because of the presence of salmonella","uk-fsa-pet-alerts","GB","listed","1","2026-09-07 08:43:18","https://pawmultiverse.com/r/gb/uk-fsa-pet-alerts/FSA-PRIN-17-2022/"
"uk-fsa-pet-alerts/FSA-PRIN-15-2022","Sneyd’s Wonderfeeds Ltd recalls pet feed because of the presence of salmonella","uk-fsa-pet-alerts","GB","listed","1","2026-09-07 08:43:18","https://pawmultiverse.com/r/gb/uk-fsa-pet-alerts/FSA-PRIN-15-2022/"
"uk-fsa-pet-alerts/FSA-PRIN-13-2023","Lily’s Kitchen recalls Fishy Fish Pie and Chicken and Turkey Casserole because they may contain pieces of plastic","uk-fsa-pet-alerts","GB","listed","1","2026-09-07 08:43:18","https://pawmultiverse.com/r/gb/uk-fsa-pet-alerts/FSA-PRIN-13-2023/"
"fr-rappelconso-animal/2026-06-0147","Multifit adult jelly lapin et canard (Multifit)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2026-06-0147/"
"fr-rappelconso-animal/2026-06-0129","Emincés en gelée poulet dinde 405g anima plus (Anima Plus)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2026-06-0129/"
"fr-rappelconso-animal/2026-05-0107","Barf complete (Aniforte)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2026-05-0107/"
"fr-rappelconso-animal/2026-04-0292","Peau de saumon 100gr (Good)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2026-04-0292/"
"fr-rappelconso-animal/2026-01-0139","Dog snacks pour chien assortis 400g/500g (Dog)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2026-01-0139/"
"fr-rappelconso-animal/2026-01-0053","Serrapeptase (Remède Naturel)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2026-01-0053/"
"fr-rappelconso-animal/2025-12-0130","Pure snack peau de bœuf 250g (Happy Dog)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-12-0130/"
"fr-rappelconso-animal/2025-12-0016","Dog snacks pour chien assortis 400g/500g (Dog)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-12-0016/"
"fr-rappelconso-animal/2025-11-0250","Andouille de vire tressée à la main (Andouille De Vire Maison Guery)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-11-0250/"
"fr-rappelconso-animal/2025-08-0096","Fougatreat naturelle 3 kg fraise figue pissenlit-luzerne (Decathlon / Fouganza)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-08-0096/"
"fr-rappelconso-animal/2025-08-0095","Fougatreat naturelle 1kg pissenlit luzerne (Decathlon / Fouganza)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-08-0095/"
"fr-rappelconso-animal/2025-06-0062","Premiere meat menu adult rind mit reh (Premiere)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-06-0062/"
"fr-rappelconso-animal/2025-05-0158","Oreilles de porc par 10 – réf. 84108, lot 3887338894 (Kerbl Pet)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-05-0158/"
"fr-rappelconso-animal/2025-05-0157","Cous de poulet 200g – réf. 84110, lot 38945 (Kerbl Pet)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-05-0157/"
"fr-rappelconso-animal/2025-03-0120","L'animale 5% (Le Petit Botaniste)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-03-0120/"
"fr-rappelconso-animal/2025-03-0077","Dogteur huile cbd (Dogteur Huile Cbd)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-03-0077/"
"fr-rappelconso-animal/2025-01-0191","Os à mâcher (Barkoo)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-01-0191/"
"fr-rappelconso-animal/2025-01-0077","Croquettes chien (Pw)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-01-0077/"
"fr-rappelconso-animal/2025-01-0107","Premiere bonies wild 200 g (Premiere)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-01-0107/"
"fr-rappelconso-animal/2025-01-0076","Premiere best meat light poulet 12,5 kg (Premiere)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-01-0076/"
"fr-rappelconso-animal/2025-01-0075","Premiere senior 2 kg (Premiere)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-01-0075/"
"fr-rappelconso-animal/2025-01-0064","Croquettes pour chien au boeuf 15kg - elwin (Elwin)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-01-0064/"
"fr-rappelconso-animal/2025-01-0063","Croquettes pour chien adulte performance 15 kg (Mac Brothers)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-01-0063/"
"fr-rappelconso-animal/2025-01-0062","Croquettes pour chien au boeuf crockies - 20kg (Crockies)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-01-0062/"
"fr-rappelconso-animal/2024-12-0168","Croquette pour chien grand chien (Netto)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0168/"
"fr-rappelconso-animal/2024-12-0172","Croquettes chien senior (Netto)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0172/"
"fr-rappelconso-animal/2024-12-0182","Croquettes pour chat saumon et legumes (Netto)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0182/"
"fr-rappelconso-animal/2024-12-0170","Croquettes pour chaton (Canaillou)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0170/"
"fr-rappelconso-animal/2024-12-0176","Croquettes pour chat sans cereales (Canaillou)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0176/"
"fr-rappelconso-animal/2025-01-0059","Croquettes pour chien au boeuf 15kg - elwin (Elwin)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-01-0059/"
"fr-rappelconso-animal/2025-01-0058","Croc cat 4kg (Mag Life)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2025-01-0058/"
"fr-rappelconso-animal/2024-12-0230","Energie 30/16 20kg (Energie 30/16)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0230/"
"fr-rappelconso-animal/2024-12-0211","Multi-croquettes (Orlando)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0211/"
"fr-rappelconso-animal/2024-12-0180","Croquettes pour chat (Canaillou)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0180/"
"fr-rappelconso-animal/2024-12-0174","Croquette chien senior (Canaillou)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0174/"
"fr-rappelconso-animal/2024-12-0178","Croquette chien pro mini adulte (Canaillou)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0178/"
"fr-rappelconso-animal/2024-12-0204","Croquette chien grand chien (Canaillou)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0204/"
"fr-rappelconso-animal/2024-12-0188","Croquette chien (Canaillou)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0188/"
"fr-rappelconso-animal/2024-12-0190","Croquettes pour chat (Canaillou)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0190/"
"fr-rappelconso-animal/2024-12-0184","Croquettes pour chat (Top Budget)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0184/"
"fr-rappelconso-animal/2024-12-0186","Croquette chien croc tendres (Canaillou)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0186/"
"fr-rappelconso-animal/2024-12-0193","Croquettes protein boost au poulet (Ultra Premium Direct)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0193/"
"fr-rappelconso-animal/2024-12-0153","Croquettes riches en viandes pour chien adulte 10 kg et 20 kg (Cora)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0153/"
"fr-rappelconso-animal/2024-12-0152","Croquettes chat thon saumon adulte 4kg (Cora)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0152/"
"fr-rappelconso-animal/2024-12-0165","Aliment complet (croquettes) pour chat sterilise (Plenima)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0165/"
"fr-rappelconso-animal/2024-12-0164","Bouchees moelleuses special petits chiens (Tous Mes Amis)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0164/"
"fr-rappelconso-animal/2024-12-0158","Gamme croquettes chiens companino vitalive (Companino Vitalive)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0158/"
"fr-rappelconso-animal/2024-12-0157","Gamme croquettes chiens companino vitalive (Companino Vitalive)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0157/"
"fr-rappelconso-animal/2024-12-0156","Gamme croquettes chats companino vitalive (Companino Vitalive)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0156/"
"fr-rappelconso-animal/2024-12-0155","Gamme croquettes chiens et chats companino expert (Companino Expert)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0155/"
"fr-rappelconso-animal/2024-12-0154","Gamme croquettes chiens et chats premiers prix (Premiers Prix (Pp Blanc))","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-12-0154/"
"fr-rappelconso-animal/2024-11-0099","Pondeuse regal ve (Regal)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-11-0099/"
"fr-rappelconso-animal/2024-11-0098","Pondeuse regal ve (Regal)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-11-0098/"
"fr-rappelconso-animal/2024-10-0349","Mix rongeur (Vital Scart)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-10-0349/"
"fr-rappelconso-animal/2024-10-0222","Dr. bassleer biofish food matrine (Biofish Food)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-10-0222/"
"fr-rappelconso-animal/2024-10-0024","Pondeuse complementaire basse cour (Sanders)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-10-0024/"
"fr-rappelconso-animal/2024-08-0233","Chien poulet gourmand 300g et 400g (Pepette)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-08-0233/"
"fr-rappelconso-animal/2024-08-0060","Rouleaux à base de viande de poulet boeuf et dinde (Elmut Pet Food)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-08-0060/"
"fr-rappelconso-animal/2024-05-0193","Expert + chat stérilisé - croquettes riches en poulet 1.5kg (Carrefour Expert+)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-05-0193/"
"fr-rappelconso-animal/2024-05-0061","Kangourou haché (Paex)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-05-0061/"
"fr-rappelconso-animal/2024-02-0181","Croquettes pro mini senior 1.5kg - riche en poulet et en riz (Canaillou)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-02-0181/"
"fr-rappelconso-animal/2024-02-0028","Panis rouge (Grizo)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-02-0028/"
"fr-rappelconso-animal/2024-01-0227","Produits à mâcher en bois de cerf pour chien","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-01-0227/"
"fr-rappelconso-animal/2024-01-0113","Huile chanvre saumon (Deli Hemp)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-01-0113/"
"fr-rappelconso-animal/2024-01-0107","Spray saumon cbd animaux (Deli Hemp)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-01-0107/"
"fr-rappelconso-animal/2024-01-0106","Huiles cbd/chanvre animaux (Deli Hemp)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-01-0106/"
"fr-rappelconso-animal/2024-01-0105","Huiles cbd/chanvre chevaux (Deli Hemp)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-01-0105/"
"fr-rappelconso-animal/2024-01-0088","Complexe coeur bio (aliment complémentaire pour animaux) (Laboratoire Floralpina)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2024-01-0088/"
"fr-rappelconso-animal/2023-12-0242","Huile de cbd (Bubimex)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-12-0242/"
"fr-rappelconso-animal/2023-10-0175","Poule pondeuse complet regal (Regal)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-10-0175/"
"fr-rappelconso-animal/2023-10-0177","V.v. pondeuse (Vert Vallon)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-10-0177/"
"fr-rappelconso-animal/2023-10-0176","Tradiponte perfo initial (Evialis)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-10-0176/"
"fr-rappelconso-animal/2023-10-0174","Ponte fermiere a5h trace (Alpes Aliments)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-10-0174/"
"fr-rappelconso-animal/2023-10-0167","Gv pondeuse (Gamm Vert)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-10-0167/"
"fr-rappelconso-animal/2023-05-0151","Mousse urinary s/o pour chien 410 gr (Royal Canin)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-05-0151/"
"fr-rappelconso-animal/2023-05-0185","Mousse gi low fat pour chien (Royal Canin)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-05-0185/"
"fr-rappelconso-animal/2023-04-0176","Aliment pour oiseaux 4 seasons blend 20 kg (Versele Laga)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-04-0176/"
"fr-rappelconso-animal/2023-04-0024","Phyto membres (Phyto Master)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-04-0024/"
"fr-rappelconso-animal/2023-04-0023","Phyto mobilite (Phyto Master)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-04-0023/"
"fr-rappelconso-animal/2023-04-0022","Phyto fourbure (Phyto Master)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-04-0022/"
"fr-rappelconso-animal/2023-04-0021","Phyto forme (Phyto Master)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-04-0021/"
"fr-rappelconso-animal/2023-04-0020","Phyto draineur (Phyto Master)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-04-0020/"
"fr-rappelconso-animal/2023-03-0081","Chrysantellum americanum (Esc Laboratoire)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2023-03-0081/"
"fr-rappelconso-animal/2022-09-0266","Belcando rind mit kartoffel &#038; erbsen (Belcando)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2022-09-0266/"
"fr-rappelconso-animal/2022-07-0043","Purina® pro plan® original kitten 1 à 12 mois, riche en poulet (Pro Plan®)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2022-07-0043/"
"fr-rappelconso-animal/2022-07-0042","Purina® pro plan® sterilised adult 1+, riche en saumon (Pro Plan®)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2022-07-0042/"
"fr-rappelconso-animal/2022-07-0040","Purina one® junior de 1 à 12 mois, élaboré avec du poulet sélectionné (Purina One®)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2022-07-0040/"
"fr-rappelconso-animal/2022-02-0246","Menu perroquet 800g tyrol 1880 (Tyrol)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2022-02-0246/"
"fr-rappelconso-animal/2022-02-0247","Nutri'balance expert canaris et serins 1kg aime (Aime)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2022-02-0247/"
"fr-rappelconso-animal/2022-02-0082","Fumachol pilulier de 50 gélules (Fumachol)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2022-02-0082/"
"fr-rappelconso-animal/2022-01-0088","Cartimax, gélules (aliment complémentaire pour chats et chiens) (Cartimax)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2022-01-0088/"
"fr-rappelconso-animal/2021-12-0332","Poussin démarrage miette","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2021-12-0332/"
"fr-rappelconso-animal/2021-11-0283","Triticale (Vivagrain)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2021-11-0283/"
"fr-rappelconso-animal/2021-09-0292","Complément alimentaire multivitaminé boost cheval et poney (Fouganza)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2021-09-0292/"
"fr-rappelconso-animal/2021-09-0290","Complément alimentaire cheval et poney biotine (Fouganza)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2021-09-0290/"
"fr-rappelconso-animal/2021-09-0291","Complément alimentaire multivitaminé cheval et poney (Fouganza)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2021-09-0291/"
"fr-rappelconso-animal/2021-09-0219","Complément multivitaminé (Fouganza)","fr-rappelconso-animal","FR","listed","1","2026-09-07 08:21:24","https://pawmultiverse.com/r/fr/fr-rappelconso-animal/2021-09-0219/"
